Instance,Algorithm,Status,Gap,Time,Memory
instance_n1000_c1000_10_5_10_5_0,astar,OPTIMAL,0.0,1270.0,190.66119384765625
instance_n1000_c1000_10_5_10_5_0,ddo,SAT,44.09756097560975,4532.0,98.77073669433594
instance_n1000_c1000_10_5_10_5_1,astar,OPTIMAL,0.0,1373.0,192.97433471679688
instance_n1000_c1000_10_5_10_5_1,ddo,SAT,43.84765625,4402.0,38.500335693359375
instance_n1000_c1000_10_5_10_5_2,astar,OPTIMAL,0.0,1317.0,200.57452392578125
instance_n1000_c1000_10_5_10_5_2,ddo,SAT,41.97651663405088,4142.0,86.58940887451172
instance_n1000_c1000_10_5_10_5_3,astar,UNKNOWN,0.0,4001.0,706.9211654663086
instance_n1000_c1000_10_5_10_5_3,ddo,SAT,48.12563323201621,4376.0,59.19677734375
instance_n1000_c1000_10_5_10_5_4,astar,OPTIMAL,0.0,697.0,78.21977233886719
instance_n1000_c1000_10_5_10_5_4,ddo,SAT,43.10344827586207,4489.0,75.09548950195312
instance_n1000_c1000_10_5_10_5_5,astar,UNKNOWN,0.0,4001.0,546.3449554443359
instance_n1000_c1000_10_5_10_5_5,ddo,SAT,42.034548944337814,4772.0,78.71247863769531
instance_n1000_c1000_10_5_10_5_6,astar,OPTIMAL,0.0,2096.0,408.27098083496094
instance_n1000_c1000_10_5_10_5_6,ddo,SAT,40.592168099331424,4748.0,34.43968963623047
instance_n1000_c1000_10_5_10_5_7,astar,UNKNOWN,0.0,4001.0,426.5446319580078
instance_n1000_c1000_10_5_10_5_7,ddo,SAT,38.95238095238095,4637.0,12.584609985351562
instance_n1000_c1000_10_5_10_5_8,astar,OPTIMAL,0.0,2243.0,393.21348571777344
instance_n1000_c1000_10_5_10_5_8,ddo,SAT,41.04265402843602,4137.0,67.5631332397461
instance_n1000_c1000_10_5_10_5_9,astar,UNKNOWN,0.0,4001.0,416.4562530517578
instance_n1000_c1000_10_5_10_5_9,ddo,SAT,41.1764705882353,4062.0,76.88133239746094
